"","...1","gameId","playId","playDescription","quarter","down","yardsToGo","possessionTeam","defensiveTeam","yardlineSide","yardlineNumber","gameClock","preSnapHomeScore","preSnapVisitorScore","passResult","penaltyYards","prePenaltyPlayResult","playResult","foulName1","foulNFLId1","foulName2","foulNFLId2","foulName3","foulNFLId3","absoluteYardlineNumber","offenseFormation","personnelO","defendersInBox","personnelD","dropBackType","pff_playAction","pff_passCoverage","pff_passCoverageType","('blitz', 'mean')","('blitz_class', '')","('npos_list', '')","('stunt', '')","('stunt_class', '')","('4manfront', '')","epa"
"1721",1720,2021091907,919,"(:39) (Shotgun) J.Hurts pass deep right to Q.Watkins pushed ob at SF 36 for 26 yards (J.Ward; J.Tartt). Penalty on SF-K.Williams, Illegal Contact, declined.",1,3,7,"PHI","SF","PHI",38,00:39:00,3,0,"C",0,26,26,"Illegal Contact",42030,NA,NA,NA,NA,48,"SHOTGUN","1 RB, 1 TE, 3 WR",5,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-1","Man",1,5,"[1, 1, 1, 2, 1]",1,3,0,2.83037052571308
"1722",1721,2021091907,960,"(:10) (Shotgun) J.Hurts pass deep right to J.Reagor for 36 yards, TOUCHDOWN. The Replay Official reviewed the runner was inbounds ruling, and the play was REVERSED. (Shotgun) J.Hurts pass incomplete deep right to J.Reagor. PENALTY on PHI-J.Reagor, Illegal Touch Pass, 0 yards, enforced at SF 36.",1,1,10,"PHI","SF","SF",36,00:10:00,3,0,"I",0,0,0,"Illegal Touch Pass",52429,NA,NA,NA,NA,74,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-1","Man",1,2,"[1, 1, 1, 1, 1]",0,0,0,-0.510774254682474
"1723",1722,2021091907,1134,"(12:38) J.Garoppolo pass short left to G.Kittle to SF 43 for 6 yards (S.Nelson).",2,1,10,"SF","PHI","SF",37,12:38:00,3,0,"C",NA,6,6,NA,NA,NA,NA,NA,NA,47,"SINGLEBACK","2 RB, 1 TE, 2 WR",7,"4 DL, 3 LB, 4 DB","TRADITIONAL",1,"Cover-6","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.343613470904529
"1724",1723,2021091907,1215,"(13:22) J.Garoppolo pass short left to K.Juszczyk to SF 37 for 7 yards (A.Harris).",2,2,7,"SF","PHI","SF",30,13:22:00,3,0,"C",NA,7,7,NA,NA,NA,NA,NA,NA,40,"I_FORM","2 RB, 2 TE, 1 WR",7,"4 DL, 3 LB, 4 DB","TRADITIONAL",1,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.933587501756847
"1725",1724,2021091907,1270,"(9:57) (Shotgun) J.Garoppolo pass incomplete short left to T.Sherfield.",2,1,10,"SF","PHI","SF",48,09:57:00,3,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,58,"SHOTGUN","2 RB, 1 TE, 2 WR",6,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Cover-2","Zone",0,0,"[1, 1, 1, 1]",0,0,1,-0.490464056609198
"1726",1725,2021091907,1348,"(8:53) J.Garoppolo pass incomplete deep right to T.Sherfield.",2,1,25,"SF","PHI","SF",44,08:53:00,3,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,54,"SINGLEBACK","2 RB, 1 TE, 2 WR",7,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Cover-2","Zone",0,0,"[1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,-0.497342945542186
"1727",1726,2021091907,1374,"(8:47) J.Garoppolo pass deep left to D.Samuel to PHI 39 for 17 yards (M.Epps).",2,2,25,"SF","PHI","SF",44,08:47:00,3,0,"C",NA,17,17,NA,NA,NA,NA,NA,NA,54,"SINGLEBACK","2 RB, 1 TE, 2 WR",7,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Cover-2","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.495093503966928
"1728",1727,2021091907,1438,"(7:12) (Shotgun) J.Hurts pass deep right to Q.Watkins to SF 6 for 91 yards (D.Lenoir; J.Tartt).",2,1,10,"PHI","SF","PHI",3,07:12:00,3,0,"C",NA,91,91,NA,NA,NA,NA,NA,NA,107,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-1","Man",1,2,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,5.65704620728502
"1729",1728,2021091907,1507,"(5:59) (Shotgun) J.Hurts pass incomplete short left to D.Smith. PENALTY on SF-J.Norman, Defensive Pass Interference, 10 yards, enforced at SF 11 - No Play.",2,2,11,"PHI","SF","SF",11,05:59:00,3,0,"I",10,0,10,"Defensive Pass Interference",38673,NA,NA,NA,NA,21,"SHOTGUN","1 RB, 2 TE, 2 WR",7,"4 DL, 3 LB, 4 DB",NA,0,"Cover-1","Man",0,0,"[1, 1, 1, 1]",0,0,1,2.19578408484813
"1730",1729,2021091907,1540,"(5:54) J.Hurts pass incomplete short right to Z.Ertz.",2,1,1,"PHI","SF","SF",1,05:54:00,3,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,11,"JUMBO","6 OL, 1 RB, 3 TE, 0 WR",11,"5 DL, 3 LB, 3 DB","SCRAMBLE_ROLLOUT_RIGHT",1,"Goal Line","Other",1,3,"[1, 1, 1, 1, 1, 1]",0,0,0,-0.24109726108145
"1731",1730,2021091907,1675,"(3:05) (Shotgun) J.Garoppolo pass short left to D.Samuel to SF 15 for 5 yards (S.Nelson).",2,3,3,"SF","PHI","SF",10,03:05:00,3,0,"C",NA,5,5,NA,NA,NA,NA,NA,NA,20,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,1.01135322521441
"1732",1731,2021091907,1812,"(1:16) (Shotgun) J.Garoppolo pass short middle to J.Hasty to SF 36 for 6 yards (A.Singleton; E.Wilson).",2,2,5,"SF","PHI","SF",30,01:16:00,3,0,"C",NA,6,6,NA,NA,NA,NA,NA,NA,40,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",1,1,1,0.41926232969854
"1733",1732,2021091907,1925,"(:25) (Shotgun) J.Garoppolo pass short middle to D.Samuel pushed ob at PHI 11 for 40 yards (D.Slay).",2,1,10,"SF","PHI","SF",49,00:25:00,3,0,"C",NA,40,40,NA,NA,NA,NA,NA,NA,59,"EMPTY","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[3, 1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,2.67708278429927
"1734",1733,2021091907,1954,"(:17) (Shotgun) J.Garoppolo pass short left to J.Jennings for 11 yards, TOUCHDOWN.",2,1,10,"SF","PHI","PHI",11,00:17:00,3,0,"C",NA,11,11,NA,NA,NA,NA,NA,NA,99,"EMPTY","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Red Zone","Other",0,0,"[1, 1, 1, 1]",0,0,1,3.11766165820882
"1735",1734,2021091907,2086,"(14:38) (No Huddle) J.Hurts sacked at PHI 24 for -8 yards (N.Bosa). FUMBLES (N.Bosa) [N.Bosa], recovered by PHI-J.Stoll at PHI 25. J.Stoll to PHI 23 for -2 yards (J.Tartt).",3,2,3,"PHI","SF","PHI",32,14:38:00,3,7,"S",NA,-9,-9,NA,NA,NA,NA,NA,NA,78,"SINGLEBACK","1 RB, 3 TE, 1 WR",7,"4 DL, 3 LB, 4 DB","TRADITIONAL",1,"Cover-1","Man",1,2,"[1, 1, 1, 1, 1]",0,0,0,-2.55441044270992
"1736",1735,2021091907,2115,"(13:51) (Shotgun) J.Hurts pass incomplete deep right to D.Smith (D.Lenoir).",3,3,12,"PHI","SF","PHI",23,13:51:00,3,7,"I",NA,0,0,NA,NA,NA,NA,NA,NA,87,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",1,1,"[1, 3, 1, 1, 1, 1]",0,0,0,-1.13448243122548
"1737",1736,2021091907,2217,"(12:53) (Shotgun) J.Garoppolo pass short left to T.Sherfield to SF 45 for 9 yards (A.Singleton).",3,1,10,"SF","PHI","SF",36,12:53:00,3,7,"C",NA,9,9,NA,NA,NA,NA,NA,NA,46,"SHOTGUN","2 RB, 1 TE, 2 WR",7,"4 DL, 3 LB, 4 DB","TRADITIONAL",1,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.786508785327896
"1738",1737,2021091907,2273,"(11:39) J.Garoppolo scrambles right end to SF 49 for 2 yards (G.Avery).",3,1,10,"SF","PHI","SF",47,11:39:00,3,7,"R",NA,2,2,NA,NA,NA,NA,NA,NA,57,"I_FORM","2 RB, 2 TE, 1 WR",7,"4 DL, 3 LB, 4 DB","SCRAMBLE",1,"Cover-6","Zone",0,0,"[1, 1, 1, 1]",0,0,1,-0.474762720288709
"1739",1738,2021091907,2334,"(10:06) (Shotgun) J.Garoppolo pass incomplete short left to D.Samuel (S.Nelson).",3,3,6,"SF","PHI","PHI",49,10:06:00,3,7,"I",NA,0,0,NA,NA,NA,NA,NA,NA,61,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-1","Man",1,7,"[1, 1, 1, 1, 1, 2]",0,0,0,-1.6841901789885
"1740",1739,2021091907,2459,"(7:54) (No Huddle, Shotgun) J.Hurts scrambles right end ran ob at PHI 48 for 13 yards (D.Lenoir).",3,1,10,"PHI","SF","PHI",35,07:54:00,3,7,"R",NA,13,13,NA,NA,NA,NA,NA,NA,75,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","SCRAMBLE",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",1,2,1,0.929349370067939
"1741",1740,2021091907,2527,"(6:14) (Shotgun) J.Hurts pass short right to Z.Ertz to SF 40 for 6 yards (A.Al-Shaair).",3,3,4,"PHI","SF","SF",46,06:14:00,3,7,"C",NA,6,6,NA,NA,NA,NA,NA,NA,56,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",1,4,1,1.34384304867126
"1742",1741,2021091907,2572,"(5:10) (No Huddle, Shotgun) J.Hurts pass incomplete deep right to D.Smith.",3,2,10,"PHI","SF","SF",40,05:10:00,3,7,"I",NA,0,0,NA,NA,NA,NA,NA,NA,50,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",1,5,"[2, 1, 1, 1, 1]",0,0,0,-0.848585003288463
"1743",1742,2021091907,2594,"(5:04) (Shotgun) J.Hurts pass incomplete short right to J.Reagor [A.Key].",3,3,10,"PHI","SF","SF",40,05:04:00,3,7,"I",NA,0,0,NA,NA,NA,NA,NA,NA,50,"SHOTGUN","1 RB, 1 TE, 3 WR",5,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",1,1,"[1, 1, 1, 3, 1]",0,0,0,-1.81637472403236
"1744",1743,2021091907,2641,"(4:51) J.Garoppolo pass short left to D.Samuel to SF 14 for 6 yards (M.Williams; A.Harris).",3,1,10,"SF","PHI","SF",8,04:51:00,3,7,"C",NA,6,6,NA,NA,NA,NA,NA,NA,18,"SINGLEBACK","1 RB, 2 TE, 2 WR",8,"4 DL, 3 LB, 4 DB","TRADITIONAL",1,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.188882326241583
"1745",1744,2021091907,2731,"(2:13) (Shotgun) J.Garoppolo pass short right to B.Aiyuk to SF 38 for 6 yards (D.Slay).",3,3,2,"SF","PHI","SF",32,02:13:00,3,7,"C",NA,6,6,NA,NA,NA,NA,NA,NA,42,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.962860490893945
"1746",1745,2021091907,2819,"(15:00) (Shotgun) J.Garoppolo pass short middle to D.Samuel to PHI 44 for 15 yards (G.Avery; A.Harris).",4,3,7,"SF","PHI","SF",41,15:00:00,3,7,"C",NA,15,15,NA,NA,NA,NA,NA,NA,69,"EMPTY","1 RB, 1 TE, 3 WR",5,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,2.16919613676146
"1747",1746,2021091907,2890,"(13:09) J.Garoppolo scrambles left end to PHI 31 for 4 yards (G.Avery). PENALTY on PHI-F.Cox, Illegal Use of Hands, 5 yards, enforced at PHI 31.",4,3,1,"SF","PHI","PHI",35,13:09:00,3,7,"R",5,4,9,"Illegal Use of Hands",38542,NA,NA,NA,NA,45,"I_FORM","2 RB, 2 TE, 1 WR",6,"4 DL, 3 LB, 4 DB","SCRAMBLE",1,"Cover-3","Zone",1,2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,1.0128594499547
"1748",1747,2021091907,3014,"(11:09) (Shotgun) J.Garoppolo pass incomplete short left to M.Sanu. PENALTY on PHI-A.Harris, Defensive Pass Interference, 2 yards, enforced at PHI 3 - No Play.",4,3,3,"SF","PHI","PHI",3,11:09:00,3,7,"I",2,0,2,"Defensive Pass Interference",42830,NA,NA,NA,NA,13,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 3 LB, 4 DB",NA,0,"Red Zone","Other",0,0,"[1, 1, 1]",0,0,0,1.78333032154478
"1749",1748,2021091907,3156,"(10:47) (Shotgun) J.Hurts pass incomplete deep right to J.Reagor (J.Ward).",4,1,10,"PHI","SF","PHI",20,10:47:00,3,14,"I",NA,0,0,NA,NA,NA,NA,NA,NA,30,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",1,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,-0.506634312216192
"1750",1749,2021091907,3202,"(10:02) (Shotgun) J.Hurts pass incomplete short right to D.Smith (F.Warner).",4,1,10,"PHI","SF","PHI",30,10:02:00,3,14,"I",NA,0,0,NA,NA,NA,NA,NA,NA,40,"SHOTGUN","1 RB, 2 TE, 2 WR",6,"4 DL, 3 LB, 4 DB","SCRAMBLE",1,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,-0.481301184277982
"1751",1750,2021091907,3224,"(9:50) (Shotgun) J.Hurts scrambles right end to PHI 38 for 8 yards (J.Ward).",4,2,10,"PHI","SF","PHI",30,09:50:00,3,14,"R",NA,8,8,NA,NA,NA,NA,NA,NA,40,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","SCRAMBLE",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",1,6,1,0.338325679767877
"1752",1751,2021091907,3245,"(9:03) (Shotgun) J.Hurts sacked at PHI 32 for -6 yards (N.Bosa).",4,3,2,"PHI","SF","PHI",38,09:03:00,3,14,"S",NA,-6,-6,NA,NA,NA,NA,NA,NA,48,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",1,5,1,-2.22368372790515
"1753",1752,2021091907,3603,"(5:07) (Shotgun) J.Hurts pass short left to K.Gainwell to PHI 34 for 9 yards (F.Warner).",4,1,10,"PHI","SF","PHI",25,05:07:00,3,17,"C",NA,9,9,NA,NA,NA,NA,NA,NA,35,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-6","Zone",1,10,"[2, 1, 1, 1]",1,3,0,0.505246525979601
"1754",1753,2021091907,3627,"(4:45) (No Huddle, Shotgun) J.Hurts scrambles right end ran ob at PHI 43 for 9 yards (D.Lenoir).",4,2,1,"PHI","SF","PHI",34,04:45:00,3,17,"R",NA,9,9,NA,NA,NA,NA,NA,NA,44,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","SCRAMBLE",0,"Cover-6","Zone",0,0,"[1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,0.50827745127026
"1755",1754,2021091907,3653,"(4:38) (Shotgun) J.Hurts scrambles right end ran ob at SF 30 for 27 yards (J.Ward). PENALTY on SF-J.Ward, Unnecessary Roughness, 15 yards, enforced at SF 30.",4,1,10,"PHI","SF","PHI",43,04:38:00,3,17,"R",15,27,42,"Unnecessary Roughness",41256,NA,NA,NA,NA,53,"SHOTGUN","1 RB, 1 TE, 3 WR",5,"4 DL, 2 LB, 5 DB","SCRAMBLE",0,"Cover-3","Zone",1,1,"[1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1]",0,0,0,2.60046402388252
"1756",1755,2021091907,3690,"(4:30) (Shotgun) J.Hurts pass short right to D.Goedert to SF 1 for 14 yards (F.Warner).",4,1,10,"PHI","SF","SF",15,04:30:00,3,17,"C",NA,14,14,NA,NA,NA,NA,NA,NA,95,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-6","Zone",0,0,"[1, 1, 1, 1]",1,5,1,1.54972664866364
"1757",1756,2021091907,3804,"(3:13) (Shotgun) J.Garoppolo pass short right to K.Juszczyk to SF 23 for 8 yards (A.Singleton). SF-K.Juszczyk was injured during the play.",4,2,9,"SF","PHI","SF",15,03:13:00,11,17,"C",NA,8,8,NA,NA,NA,NA,NA,NA,95,"SHOTGUN","2 RB, 1 TE, 2 WR",8,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.249007427599281
"1758",1757,2021091908,62,"(14:55) (Shotgun) B.Roethlisberger pass short left to J.Smith-Schuster to PIT 38 for 6 yards (T.Mullen).",1,1,10,"PIT","LV","PIT",32,14:55:00,0,0,"C",NA,6,6,NA,NA,NA,NA,NA,NA,42,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.175322233699262
"1759",1758,2021091908,107,"(13:39) (Shotgun) B.Roethlisberger pass short right to J.Smith-Schuster to PIT 45 for 5 yards (J.Abram).",1,3,2,"PIT","LV","PIT",40,13:39:00,0,0,"C",NA,5,5,NA,NA,NA,NA,NA,NA,50,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,1.03298842231743
"1760",1759,2021091908,152,"(12:22) B.Roethlisberger pass short right to J.Smith-Schuster to PIT 46 for 2 yards (N.Hobbs).",1,2,11,"PIT","LV","PIT",44,12:22:00,0,0,"C",NA,2,2,NA,NA,NA,NA,NA,NA,54,"SINGLEBACK","1 RB, 1 TE, 3 WR",5,"4 DL, 2 LB, 5 DB","DESIGNED_ROLLOUT_RIGHT",1,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,-0.578063372988254
"1761",1760,2021091908,176,"(11:42) (Shotgun) B.Roethlisberger pass incomplete short left to E.Ebron [M.Crosby].",1,3,9,"PIT","LV","PIT",46,11:42:00,0,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,56,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 1 LB, 6 DB","TRADITIONAL",0,"Cover-6","Zone",1,4,"[1, 1, 1, 1, 1, 1, 1]",1,4,0,-1.59318007342517
"1762",1761,2021091908,217,"(11:27) (Shotgun) D.Carr pass incomplete short middle to F.Moreau (J.Schobert).",1,1,10,"LV","PIT","LV",16,11:27:00,0,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,94,"SHOTGUN","1 RB, 3 TE, 1 WR",7,"3 DL, 4 LB, 4 DB","TRADITIONAL",0,"Quarters","Zone",1,10,"[1, 1, 1, 1, 1, 1, 2, 1]",0,0,0,-0.615582772996277
"1763",1762,2021091908,248,"(11:22) (No Huddle, Shotgun) D.Carr pass short left to D.Carrier to LV 25 for 9 yards (C.Sutton).",1,2,10,"LV","PIT","LV",16,11:22:00,0,0,"C",NA,9,9,NA,NA,NA,NA,NA,NA,94,"EMPTY","1 RB, 3 TE, 1 WR",6,"3 DL, 4 LB, 4 DB","TRADITIONAL",0,"Cover-6","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.908726284746081
"1764",1763,2021091908,317,"(9:42) (Shotgun) D.Carr pass short right to H.Renfrow to LV 34 for 3 yards (J.Pierre, T.Watt).",1,2,6,"LV","PIT","LV",31,09:42:00,0,0,"C",NA,3,3,NA,NA,NA,NA,NA,NA,79,"EMPTY","1 RB, 1 TE, 3 WR",6,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-2","Zone",1,1,"[1, 1, 3, 2]",1,6,0,-0.340704336296767
"1765",1764,2021091908,409,"(8:15) B.Roethlisberger pass incomplete deep right to C.Claypool (C.Hayward).",1,1,10,"PIT","LV","PIT",8,08:15:00,0,0,"I",NA,0,0,NA,NA,NA,NA,NA,NA,18,"SINGLEBACK","1 RB, 1 TE, 3 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",1,"Cover-3","Zone",0,0,"[1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,-0.566886006854475
"1766",1765,2021091908,473,"(6:45) (Shotgun) B.Roethlisberger pass short left to C.Claypool to PIT 22 for 2 yards (N.Hobbs).",1,2,12,"PIT","LV","PIT",20,06:45:00,0,0,"C",NA,2,2,NA,NA,NA,NA,NA,NA,30,"EMPTY","1 RB, 1 TE, 3 WR",5,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,-0.477167688775808
"1767",1766,2021091908,497,"(5:59) (Shotgun) B.Roethlisberger pass deep left intended for D.Johnson INTERCEPTED by T.Mullen [M.Crosby] at LV 43. T.Mullen to PIT 39 for 18 yards.",1,3,10,"PIT","LV","PIT",22,05:59:00,0,0,"IN",NA,0,0,NA,NA,NA,NA,NA,NA,32,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 1 LB, 6 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,-2.87613122817129
"1768",1767,2021091908,523,"(5:44) (Shotgun) D.Carr pass short left to K.Drake pushed ob at PIT 28 for 11 yards (M.Fitzpatrick).",1,1,10,"LV","PIT","PIT",39,05:44:00,0,0,"C",NA,11,11,NA,NA,NA,NA,NA,NA,49,"EMPTY","1 RB, 1 TE, 3 WR",6,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.766955177299678
"1769",1768,2021091908,552,"(5:21) (Shotgun) D.Carr sacked at PIT 32 for -4 yards (T.Watt). FUMBLES (T.Watt) [T.Watt], recovered by LV-J.Simpson at PIT 29.",1,1,10,"LV","PIT","PIT",28,05:21:00,0,0,"S",NA,-1,-1,NA,NA,NA,NA,NA,NA,38,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"2 DL, 4 LB, 5 DB","TRADITIONAL",1,"Cover-3","Zone",0,0,"[1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,-0.799919656012207
"1770",1769,2021091908,630,"(4:00) (Shotgun) D.Carr pass short left to K.Drake to PIT 27 for 10 yards (J.Schobert; M.Fitzpatrick).",1,3,19,"LV","PIT","PIT",37,04:00:00,0,0,"C",NA,10,10,NA,NA,NA,NA,NA,NA,47,"SHOTGUN","1 RB, 1 TE, 3 WR",4,"2 DL, 3 LB, 6 DB","TRADITIONAL",0,"Cover-2","Zone",0,0,"[1, 1, 1, 1, 1, 2, 1, 1]",0,0,0,0.576864379686654
"1771",1770,2021091908,695,"(3:05) (Shotgun) B.Roethlisberger pass short right to N.Harris to PIT 31 for 9 yards (D.Perryman).",1,1,10,"PIT","LV","PIT",22,03:05:00,0,3,"C",NA,9,9,NA,NA,NA,NA,NA,NA,32,"SHOTGUN","1 RB, 2 TE, 2 WR",7,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,1.06642712373286
"1772",1771,2021091908,754,"(1:58) (Shotgun) B.Roethlisberger pass short left to D.Johnson to PIT 37 for 9 yards (D.Perryman). Penalty on LV-J.Hankins, Illegal Use of Hands, declined.",1,2,4,"PIT","LV","PIT",28,01:58:00,0,3,"C",0,9,9,"Illegal Use of Hands",39997,NA,NA,NA,NA,38,"EMPTY","1 RB, 2 TE, 2 WR",5,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",1,2,1,0.812456250889227
"1773",1772,2021091908,890,"(15:00) (Shotgun) B.Roethlisberger sacked at LV 44 for 0 yards (S.Thomas).",2,1,10,"PIT","LV","LV",44,15:00:00,0,3,"S",NA,0,0,NA,NA,NA,NA,NA,NA,54,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[1, 1, 1, 1, 1, 1, 1, 1]",0,0,0,-0.538357289275154
"1774",1773,2021091908,918,"(14:17) (Shotgun) B.Roethlisberger pass short middle to J.Smith-Schuster to LV 38 for 6 yards (C.Littleton).",2,2,10,"PIT","LV","LV",44,14:17:00,0,3,"C",NA,6,6,NA,NA,NA,NA,NA,NA,54,"EMPTY","1 RB, 1 TE, 3 WR",4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,-0.231111254892312
"1775",1774,2021091908,959,"(13:44) (Shotgun) B.Roethlisberger pass incomplete deep left to C.Claypool (C.Hayward). LV-C.Hayward was injured during the play.",2,3,4,"PIT","LV","LV",38,13:44:00,0,3,"I",NA,0,0,NA,NA,NA,NA,NA,NA,48,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,-1.86704895866569
"1776",1775,2021091908,985,"(13:37) (Shotgun) B.Roethlisberger pass incomplete deep right to C.Claypool [Q.Jefferson].",2,4,4,"PIT","LV","LV",38,13:37:00,0,3,"I",NA,0,0,NA,NA,NA,NA,NA,NA,48,"EMPTY","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,-2.38334061927162
"1777",1776,2021091908,1028,"(12:55) (Shotgun) D.Carr scrambles up the middle to LV 47 for 5 yards (A.Highsmith, R.Spillane). PENALTY on PIT-R.Spillane, Lowering the Head to Initiate Contact, 15 yards, enforced at LV 47.",2,2,6,"LV","PIT","LV",42,12:55:00,0,3,"R",15,5,20,"Lowering the Head to Initiate Contact",46902,NA,NA,NA,NA,52,"SHOTGUN","1 RB, 2 TE, 2 WR",7,"2 DL, 4 LB, 5 DB","SCRAMBLE",0,"2-Man","Man",0,0,"[1, 1, 1, 1]",1,5,1,1.57994659314863
